trial_id,score,config_json
10,0.16186613014978007,"{""pop_size"": 31, ""offspring_ratio"": 0.25, ""selection"": ""random"", ""use_external_archive"": false, ""initializer"": ""halton"", ""crossover"": ""blx_alpha_beta"", ""crossover_prob"": 0.7561508387171931, ""mutation"": ""power_law"", ""mutation_prob_factor"": 1.8043734769783626, ""mutation_eta"": 24.87394218361428, ""repair"": ""wrap"", ""blxab_alpha"": 0.31167848081529637, ""blxab_beta"": 0.7895083895603596, ""power_index"": 2.7091152727750814}"
11,0.0,"{""pop_size"": 58, ""offspring_ratio"": 0.25, ""selection"": ""sus"", ""use_external_archive"": false, ""initializer"": ""obl"", ""crossover"": ""laplace"", ""crossover_prob"": 0.7577794887025571, ""mutation"": ""uniform_reset"", ""mutation_prob_factor"": 2.789167633597644, ""mutation_eta"": 24.57804352641434, ""repair"": ""round"", ""laplace_a"": -0.1968874689970117, ""laplace_b"": 1.6708476426172745}"
12,0.22545905277442874,"{""pop_size"": 52, ""offspring_ratio"": 0.25, ""selection"": ""ranking"", ""use_external_archive"": true, ""initializer"": ""halton"", ""crossover"": ""undx"", ""crossover_prob"": 0.701717765883896, ""mutation"": ""power_law"", ""mutation_prob_factor"": 2.116842619843007, ""mutation_eta"": 27.246502186013622, ""repair"": ""midpoint"", ""archive_unbounded"": false, ""archive_prune_policy"": ""maxmin"", ""undx_zeta"": 0.5064253184709866, ""undx_eta"": 0.5048572110081686, ""power_index"": 2.5872064669823414}"
13,0.03629893810047222,"{""pop_size"": 54, ""offspring_ratio"": 0.25, ""selection"": ""tournament"", ""use_external_archive"": true, ""initializer"": ""random"", ""crossover"": ""laplace"", ""crossover_prob"": 0.7848246416462952, ""mutation"": ""non_uniform"", ""mutation_prob_factor"": 1.464590904077385, ""mutation_eta"": 23.05900899894211, ""repair"": ""round"", ""archive_unbounded"": true, ""selection_size"": 3, ""laplace_a"": -0.4968349572999995, ""laplace_b"": 0.6032612681031754, ""nonuniform_perturbation"": 0.14502236215838366}"
14,0.23603099991801973,"{""pop_size"": 42, ""offspring_ratio"": 0.5, ""selection"": ""tournament"", ""use_external_archive"": true, ""initializer"": ""lhs"", ""crossover"": ""fuzzy"", ""crossover_prob"": 0.7263442063309706, ""mutation"": ""non_uniform"", ""mutation_prob_factor"": 1.9420910532310574, ""mutation_eta"": 31.145402170671964, ""repair"": ""clip"", ""archive_unbounded"": true, ""selection_size"": 3, ""fuzzy_d"": 1.0967428323005204, ""nonuniform_perturbation"": 0.23858700651118736}"
15,0.22750188355169654,"{""pop_size"": 45, ""offspring_ratio"": 1.0, ""selection"": ""random"", ""use_external_archive"": true, ""initializer"": ""obl"", ""crossover"": ""pcx"", ""crossover_prob"": 0.9442809015499327, ""mutation"": ""uniform_reset"", ""mutation_prob_factor"": 1.3334668207406721, ""mutation_eta"": 15.861845794782838, ""repair"": ""clip"", ""archive_unbounded"": false, ""archive_prune_policy"": ""knn"", ""pcx_sigma_eta"": 0.253646059218825, ""pcx_sigma_zeta"": 0.2871485755424003}"
16,0.22593390092131213,"{""pop_size"": 57, ""offspring_ratio"": 0, ""selection"": ""random"", ""use_external_archive"": false, ""initializer"": ""halton"", ""crossover"": ""whole_arithmetic"", ""crossover_prob"": 0.7740592774763306, ""mutation"": ""uniform"", ""mutation_prob_factor"": 1.7706151685135196, ""mutation_eta"": 19.375899371809922, ""repair"": ""midpoint"", ""wa_alpha"": 0.37679093794593066, ""uniform_perturb"": 0.3708968925435749}"
17,0.23990365364773641,"{""pop_size"": 58, ""offspring_ratio"": 1.0, ""selection"": ""ranking"", ""use_external_archive"": false, ""initializer"": ""obl"", ""crossover"": ""sbx"", ""crossover_prob"": 0.7987520497492446, ""mutation"": ""linked_polynomial"", ""mutation_prob_factor"": 1.8314950597313286, ""mutation_eta"": 22.49670937109443, ""repair"": ""wrap"", ""crossover_eta"": 16.492472150494837}"
18,0.015417905154552741,"{""pop_size"": 44, ""offspring_ratio"": 0.75, ""selection"": ""sus"", ""use_external_archive"": false, ""initializer"": ""scatter"", ""crossover"": ""laplace"", ""crossover_prob"": 0.8547598514213912, ""mutation"": ""polynomial"", ""mutation_prob_factor"": 1.9685124894391526, ""mutation_eta"": 14.533003411848576, ""repair"": ""clip"", ""laplace_a"": 0.4928463442466797, ""laplace_b"": 0.9964519374727304, ""scatter_base_size_factor"": 0.3}"
19,0.11789435656065146,"{""pop_size"": 73, ""offspring_ratio"": 0.5, ""selection"": ""sus"", ""use_external_archive"": false, ""initializer"": ""lhs"", ""crossover"": ""whole_arithmetic"", ""crossover_prob"": 0.7215657753960254, ""mutation"": ""polynomial"", ""mutation_prob_factor"": 1.2517301217024135, ""mutation_eta"": 28.05108507871712, ""repair"": ""clip"", ""wa_alpha"": 0.5087990625012723}"
20,0.06595259366555926,"{""pop_size"": 66, ""offspring_ratio"": 0.25, ""selection"": ""random"", ""use_external_archive"": true, ""initializer"": ""sobol"", ""crossover"": ""blx_alpha_beta"", ""crossover_prob"": 0.7232187659862489, ""mutation"": ""gaussian"", ""mutation_prob_factor"": 1.989110458038059, ""mutation_eta"": 17.2748495749808, ""repair"": ""round"", ""archive_unbounded"": true, ""blxab_alpha"": 0.8351781932607398, ""blxab_beta"": 0.5642476376463534, ""gaussian_sigma"": 0.2381214556413648}"
21,0.23353518781932453,"{""pop_size"": 46, ""offspring_ratio"": 0.25, ""selection"": ""random"", ""use_external_archive"": false, ""initializer"": ""halton"", ""crossover"": ""undx"", ""crossover_prob"": 0.8217721459691744, ""mutation"": ""polynomial"", ""mutation_prob_factor"": 1.7398700414342758, ""mutation_eta"": 27.919605283777337, ""repair"": ""random"", ""undx_zeta"": 0.7455534923806529, ""undx_eta"": 0.6330747938687324}"
22,0.2201197642708672,"{""pop_size"": 38, ""offspring_ratio"": 0.5, ""selection"": ""random"", ""use_external_archive"": true, ""initializer"": ""sobol"", ""crossover"": ""whole_arithmetic"", ""crossover_prob"": 0.6752234378086931, ""mutation"": ""uniform_reset"", ""mutation_prob_factor"": 1.3416679963130678, ""mutation_eta"": 26.867278687810995, ""repair"": ""reflect"", ""archive_unbounded"": false, ""archive_prune_policy"": ""crowding"", ""wa_alpha"": 0.24223037380228016}"
23,0.24390210156151804,"{""pop_size"": 66, ""offspring_ratio"": 0.25, ""selection"": ""random"", ""use_external_archive"": true, ""initializer"": ""random"", ""crossover"": ""fuzzy"", ""crossover_prob"": 0.9437792047832343, ""mutation"": ""uniform"", ""mutation_prob_factor"": 0.7855492176234771, ""mutation_eta"": 34.06775250634006, ""repair"": ""random"", ""archive_unbounded"": false, ""archive_prune_policy"": ""hv"", ""fuzzy_d"": 0.7008237619195572, ""uniform_perturb"": 0.2552273519096627}"
24,0.05817052200583569,"{""pop_size"": 70, ""offspring_ratio"": 0.5, ""selection"": ""random"", ""use_external_archive"": false, ""initializer"": ""halton"", ""crossover"": ""whole_arithmetic"", ""crossover_prob"": 0.8655721145665387, ""mutation"": ""gaussian"", ""mutation_prob_factor"": 2.1727009944228404, ""mutation_eta"": 19.216582014795648, ""repair"": ""round"", ""wa_alpha"": 0.47355894132464116, ""gaussian_sigma"": 0.38425766256235544}"
25,0.22848432292215515,"{""pop_size"": 148, ""offspring_ratio"": 0.5, ""selection"": ""tournament"", ""use_external_archive"": true, ""initializer"": ""scatter"", ""crossover"": ""whole_arithmetic"", ""crossover_prob"": 0.717899657697454, ""mutation"": ""non_uniform"", ""mutation_prob_factor"": 1.2499893913502778, ""mutation_eta"": 21.539712438859475, ""repair"": ""clip"", ""archive_unbounded"": true, ""selection_size"": 5, ""wa_alpha"": 0.385743190226035, ""nonuniform_perturbation"": 0.07890206492728405, ""scatter_base_size_factor"": 1.0}"
26,0.2287663987894341,"{""pop_size"": 78, ""offspring_ratio"": 0.75, ""selection"": ""tournament"", ""use_external_archive"": false, ""initializer"": ""scatter"", ""crossover"": ""arithmetic"", ""crossover_prob"": 0.8468432142582561, ""mutation"": ""cauchy"", ""mutation_prob_factor"": 2.027317546952072, ""mutation_eta"": 20.90896649841135, ""repair"": ""clip"", ""selection_size"": 5, ""cauchy_gamma"": 0.23772270214791186, ""scatter_base_size_factor"": 0.2}"
27,0.14826281767419763,"{""pop_size"": 56, ""offspring_ratio"": 0, ""selection"": ""sus"", ""use_external_archive"": false, ""initializer"": ""lhs"", ""crossover"": ""simplex"", ""crossover_prob"": 0.8620071989473267, ""mutation"": ""levy_flight"", ""mutation_prob_factor"": 1.8626873356330966, ""mutation_eta"": 25.209032785526592, ""repair"": ""wrap"", ""simplex_epsilon"": 0.6036030834838418, ""levy_beta"": 1.1292149799316968, ""levy_scale"": 0.045971119112308056}"
28,0.24580279358995055,"{""pop_size"": 53, ""offspring_ratio"": 0.5, ""selection"": ""sus"", ""use_external_archive"": true, ""initializer"": ""obl"", ""crossover"": ""sbx"", ""crossover_prob"": 0.7850215873094645, ""mutation"": ""uniform"", ""mutation_prob_factor"": 1.2049331707285729, ""mutation_eta"": 25.761520574121835, ""repair"": ""wrap"", ""archive_unbounded"": false, ""archive_prune_policy"": ""hv"", ""crossover_eta"": 27.53742108868447, ""uniform_perturb"": 0.2279113929728963}"
29,0.24201754613803733,"{""pop_size"": 40, ""offspring_ratio"": 0.75, ""selection"": ""ranking"", ""use_external_archive"": true, ""initializer"": ""lhs"", ""crossover"": ""whole_arithmetic"", ""crossover_prob"": 0.8580714688772133, ""mutation"": ""uniform"", ""mutation_prob_factor"": 2.2568486426112675, ""mutation_eta"": 20.645901177421685, ""repair"": ""clip"", ""archive_unbounded"": true, ""wa_alpha"": 0.3888805555366214, ""uniform_perturb"": 0.246428970481508}"
30,0.1792261343233812,"{""pop_size"": 40, ""offspring_ratio"": 0, ""selection"": ""tournament"", ""use_external_archive"": false, ""initializer"": ""lhs"", ""crossover"": ""blx_alpha"", ""crossover_prob"": 0.8950933194854647, ""mutation"": ""power_law"", ""mutation_prob_factor"": 1.9098920782410986, ""mutation_eta"": 16.448055535395426, ""repair"": ""reflect"", ""selection_size"": 6, ""crossover_alpha"": 0.6489562857197501, ""power_index"": 2.955984242727356}"
31,0.0,"{""pop_size"": 84, ""offspring_ratio"": 1.0, ""selection"": ""ranking"", ""use_external_archive"": false, ""initializer"": ""lhs"", ""crossover"": ""laplace"", ""crossover_prob"": 0.7993979643605642, ""mutation"": ""levy_flight"", ""mutation_prob_factor"": 0.32582808767826965, ""mutation_eta"": 11.572067307287998, ""repair"": ""reflect"", ""laplace_a"": 0.4831760679245529, ""laplace_b"": 1.1466508242737425, ""levy_beta"": 1.4504385491015341, ""levy_scale"": 0.04810975829060104}"
32,0.0,"{""pop_size"": 65, ""offspring_ratio"": 0.75, ""selection"": ""tournament"", ""use_external_archive"": true, ""initializer"": ""sobol"", ""crossover"": ""fuzzy"", ""crossover_prob"": 0.7394168643499952, ""mutation"": ""uniform_reset"", ""mutation_prob_factor"": 1.741212903605696, ""mutation_eta"": 25.403143142411093, ""repair"": ""round"", ""archive_unbounded"": false, ""archive_prune_policy"": ""ref_dirs"", ""selection_size"": 2, ""fuzzy_d"": 1.346147823967087}"
33,0.24728118306575292,"{""pop_size"": 63, ""offspring_ratio"": 0, ""selection"": ""random"", ""use_external_archive"": false, ""initializer"": ""scatter"", ""crossover"": ""sbx"", ""crossover_prob"": 0.7984260558327463, ""mutation"": ""gaussian"", ""mutation_prob_factor"": 1.9680305650458834, ""mutation_eta"": 22.038307927764752, ""repair"": ""reflect"", ""crossover_eta"": 21.039799304308186, ""gaussian_sigma"": 0.23455168279268673, ""scatter_base_size_factor"": 1.0}"
34,0.2347268105704877,"{""pop_size"": 49, ""offspring_ratio"": 0.5, ""selection"": ""ranking"", ""use_external_archive"": false, ""initializer"": ""random"", ""crossover"": ""sbx"", ""crossover_prob"": 0.703223917912343, ""mutation"": ""cauchy"", ""mutation_prob_factor"": 2.2179259756059495, ""mutation_eta"": 26.842869784752, ""repair"": ""random"", ""crossover_eta"": 29.009165747388067, ""cauchy_gamma"": 0.2316620798712117}"
35,0.24242857446038396,"{""pop_size"": 45, ""offspring_ratio"": 0, ""selection"": ""boltzmann"", ""use_external_archive"": true, ""initializer"": ""lhs"", ""crossover"": ""fuzzy"", ""crossover_prob"": 0.8188818136134928, ""mutation"": ""cauchy"", ""mutation_prob_factor"": 1.622981224975583, ""mutation_eta"": 20.650892124933687, ""repair"": ""midpoint"", ""archive_unbounded"": false, ""archive_prune_policy"": ""crowding"", ""fuzzy_d"": 0.662991499682029, ""cauchy_gamma"": 0.2924219427401089}"
36,0.16473546850745613,"{""pop_size"": 82, ""offspring_ratio"": 0.25, ""selection"": ""random"", ""use_external_archive"": true, ""initializer"": ""scatter"", ""crossover"": ""laplace"", ""crossover_prob"": 0.8252732763982082, ""mutation"": ""uniform_reset"", ""mutation_prob_factor"": 1.42082292848661, ""mutation_eta"": 24.160219398960688, ""repair"": ""midpoint"", ""archive_unbounded"": false, ""archive_prune_policy"": ""mc_hv"", ""laplace_a"": 0.04350489361309218, ""laplace_b"": 1.0824313309588252, ""scatter_base_size_factor"": 0.1}"
37,0.2534976555805568,"{""pop_size"": 40, ""offspring_ratio"": 0.25, ""selection"": ""tournament"", ""use_external_archive"": true, ""initializer"": ""sobol"", ""crossover"": ""blx_alpha"", ""crossover_prob"": 0.8082729194748541, ""mutation"": ""gaussian"", ""mutation_prob_factor"": 1.5891291106372445, ""mutation_eta"": 19.078638479566383, ""repair"": ""random"", ""archive_unbounded"": true, ""selection_size"": 7, ""crossover_alpha"": 0.6111617448912593, ""gaussian_sigma"": 0.19903610135249608}"
38,0.23666487627813051,"{""pop_size"": 42, ""offspring_ratio"": 0, ""selection"": ""sus"", ""use_external_archive"": true, ""initializer"": ""scatter"", ""crossover"": ""whole_arithmetic"", ""crossover_prob"": 0.6920353864666947, ""mutation"": ""linked_polynomial"", ""mutation_prob_factor"": 1.5968410771175214, ""mutation_eta"": 24.51016240202131, ""repair"": ""wrap"", ""archive_unbounded"": false, ""archive_prune_policy"": ""crowding"", ""wa_alpha"": 0.30808225136141343, ""scatter_base_size_factor"": 0.2}"
39,0.2279221008885981,"{""pop_size"": 32, ""offspring_ratio"": 0.75, ""selection"": ""random"", ""use_external_archive"": true, ""initializer"": ""scatter"", ""crossover"": ""undx"", ""crossover_prob"": 0.880550982407956, ""mutation"": ""polynomial"", ""mutation_prob_factor"": 1.6392933284752562, ""mutation_eta"": 16.222911806288096, ""repair"": ""reflect"", ""archive_unbounded"": false, ""archive_prune_policy"": ""crowding"", ""undx_zeta"": 0.5704079370331064, ""undx_eta"": 0.6436560274093557, ""scatter_base_size_factor"": 1.0}"
40,0.2413078411181548,"{""pop_size"": 38, ""offspring_ratio"": 0.5, ""selection"": ""sus"", ""use_external_archive"": true, ""initializer"": ""sobol"", ""crossover"": ""blx_alpha_beta"", ""crossover_prob"": 0.8093451049572814, ""mutation"": ""levy_flight"", ""mutation_prob_factor"": 0.6253072796495881, ""mutation_eta"": 33.317693340002904, ""repair"": ""random"", ""archive_unbounded"": false, ""archive_prune_policy"": ""hv"", ""blxab_alpha"": 0.4820055927281999, ""blxab_beta"": 0.37725117462726254, ""levy_beta"": 1.097271749351765, ""levy_scale"": 0.053761310978873274}"
41,0.21275073931941899,"{""pop_size"": 48, ""offspring_ratio"": 0.5, ""selection"": ""sus"", ""use_external_archive"": false, ""initializer"": ""obl"", ""crossover"": ""blx_alpha_beta"", ""crossover_prob"": 0.8723551512382728, ""mutation"": ""uniform_reset"", ""mutation_prob_factor"": 1.7794138621851574, ""mutation_eta"": 21.32711007569593, ""repair"": ""midpoint"", ""blxab_alpha"": 0.7089633521511032, ""blxab_beta"": 0.36159785925566895}"
42,0.20983647260714822,"{""pop_size"": 29, ""offspring_ratio"": 0.75, ""selection"": ""ranking"", ""use_external_archive"": false, ""initializer"": ""lhs"", ""crossover"": ""fuzzy"", ""crossover_prob"": 0.6413013908677188, ""mutation"": ""uniform_reset"", ""mutation_prob_factor"": 1.5420867906561555, ""mutation_eta"": 26.544911958711968, ""repair"": ""wrap"", ""fuzzy_d"": 0.9989382109062902}"
43,0.1792987876224557,"{""pop_size"": 45, ""offspring_ratio"": 0.75, ""selection"": ""sus"", ""use_external_archive"": true, ""initializer"": ""halton"", ""crossover"": ""whole_arithmetic"", ""crossover_prob"": 0.9023965587706079, ""mutation"": ""cauchy"", ""mutation_prob_factor"": 1.9217362677000758, ""mutation_eta"": 22.785289971478075, ""repair"": ""random"", ""archive_unbounded"": false, ""archive_prune_policy"": ""knn"", ""wa_alpha"": 0.6832115924306269, ""cauchy_gamma"": 0.23051873444008134}"
44,0.1506555623587127,"{""pop_size"": 65, ""offspring_ratio"": 0.5, ""selection"": ""sus"", ""use_external_archive"": false, ""initializer"": ""random"", ""crossover"": ""whole_arithmetic"", ""crossover_prob"": 0.7878331870681327, ""mutation"": ""power_law"", ""mutation_prob_factor"": 1.097023211046732, ""mutation_eta"": 24.95705914383425, ""repair"": ""reflect"", ""wa_alpha"": 0.38770022847765995, ""power_index"": 3.1086988802447673}"
45,0.23463511986491906,"{""pop_size"": 29, ""offspring_ratio"": 0, ""selection"": ""tournament"", ""use_external_archive"": false, ""initializer"": ""random"", ""crossover"": ""blx_alpha_beta"", ""crossover_prob"": 0.801343523815123, ""mutation"": ""levy_flight"", ""mutation_prob_factor"": 1.6205133448268885, ""mutation_eta"": 24.20813428332968, ""repair"": ""wrap"", ""selection_size"": 6, ""blxab_alpha"": 0.47481075728419014, ""blxab_beta"": 0.4340742834521734, ""levy_beta"": 1.255761288030262, ""levy_scale"": 0.04170455866348016}"
46,0.20240652574013504,"{""pop_size"": 46, ""offspring_ratio"": 0, ""selection"": ""sus"", ""use_external_archive"": false, ""initializer"": ""scatter"", ""crossover"": ""simplex"", ""crossover_prob"": 0.9519921134707314, ""mutation"": ""uniform"", ""mutation_prob_factor"": 1.5072019581240468, ""mutation_eta"": 25.99454996437565, ""repair"": ""wrap"", ""simplex_epsilon"": 0.5356517106270737, ""uniform_perturb"": 0.25093804435516054, ""scatter_base_size_factor"": 0.5}"
47,0.2371479650263582,"{""pop_size"": 35, ""offspring_ratio"": 0.25, ""selection"": ""random"", ""use_external_archive"": true, ""initializer"": ""lhs"", ""crossover"": ""sbx"", ""crossover_prob"": 0.7440548134494571, ""mutation"": ""uniform_reset"", ""mutation_prob_factor"": 1.9796824877191774, ""mutation_eta"": 20.427062711322726, ""repair"": ""wrap"", ""archive_unbounded"": true, ""crossover_eta"": 22.54122118252138}"
48,0.1979755546097684,"{""pop_size"": 54, ""offspring_ratio"": 1.0, ""selection"": ""ranking"", ""use_external_archive"": true, ""initializer"": ""lhs"", ""crossover"": ""arithmetic"", ""crossover_prob"": 0.8495718472496165, ""mutation"": ""polynomial"", ""mutation_prob_factor"": 2.098006251119304, ""mutation_eta"": 19.65526780999189, ""repair"": ""clip"", ""archive_unbounded"": true}"
49,0.24016772116781837,"{""pop_size"": 55, ""offspring_ratio"": 0.5, ""selection"": ""boltzmann"", ""use_external_archive"": false, ""initializer"": ""obl"", ""crossover"": ""sbx"", ""crossover_prob"": 0.8818977205760188, ""mutation"": ""levy_flight"", ""mutation_prob_factor"": 1.4497732304966973, ""mutation_eta"": 20.171177892132857, ""repair"": ""midpoint"", ""crossover_eta"": 20.353682758391773, ""levy_beta"": 1.2696108232023726, ""levy_scale"": 0.04532928580057634}"
